taxon,taxon_code,Domestic_wild_status,plant_part,family
Aaronsohnia factorovskyi,AAROFAC,W,inflorescence,Asteraceae
Acacia sp.,ACACSPE,W,seed/grain,Fabaceae
Achillea sp. L.,ACHISPE,W,seed/grain,Asteraceae
Adonis aestivalis,ADONAES,W,seed/grain,Ranunculaceae
Adonis annua L.,ADONANN,W,seed/grain,Ranunculaceae
Adonis dentata Del.,ADONDEN,W,seed/grain,Ranunculaceae
Adonis flamea/dentata,ADOFLDE,W,seed/grain,Ranunculaceae
Adonis flammea Jacq.,ADONFLA,W,seed/grain,Ranunculaceae
Adonis sp.,ADONSPE,W,seed/grain,Ranunculaceae
Aegilops crassa,AEGICRA,W,seed/grain,Poaceae
Aegilops fruit fragment,AEGIFRU,W,fruit,Poaceae
Aegilops geniculata/peregrina,AEGGEPE,W,seed/grain,Poaceae
Aegilops kotschyi,AEGIKOT,W,spikelets,Poaceae
Aegilops sp. glume bases (spikelet bases),AEGSPGB,W,glume base,Poaceae
Aegilops sp. glume remains,AEGSPGR,W,chaff,Poaceae
Aegilops sp. grains,AEGISPE,W,seed/grain,Poaceae
Aegilops sp. rachis,AEGSPRA,W,chaff,Poaceae
Aegilops sp. spikelet forks (spikelets),AEGSPSF,W,chaff - spikelet fork,Poaceae
Aegilops speltoides glume bases (spikelet bases),AEGISPG,W,chaff,Poaceae
Aegilops speltoides grains,AEGISPT,W,seed/grain,Poaceae
Aegilops speltoides spikelet forks,AEGISPS,W,chaff,Poaceae
Aellinia autrani,AELLAUT,W,seed/grain,Chenopodiaceae
Aeluropus sp.,AELUSPE,W,seed/grain,Poaceae
Agropyron/Eremopyrum,AGROERE,W,seed/grain,Poaceae
Agrostis sp.,AGROSPE,W,seed/grain,Poaceae
Agrostis/Calamagrostis /Aira,AGCALAI,W,seed/grain,Poaceae
Agrostis/Poa,AGROPOA,W,seed/grain,Poaceae
Aizoon hispanicum,AIZOHIS,W,seed/grain,Aizoaceae
Aizoon sp.,AIZOSPE,W,seed/grain,Aizoaceae
Ajuga sp.,AJUGSPE,W,seed/grain,Lamiaceae
Ajuga/Teucrium sp.,AJUGTEU,W,seed/grain,Lamiaceae
Alcea spp.,ALCESPE,W,mericarp,Malvaceae
